T,P,rho,h,cp,mu,k
640.0,23.0,537.8031339479395,1779580.68944642,11367.208542125967,6.181784452478648e-05,0.4352830907889164
641.0,23.0,530.859468958101,1791250.157831969,11990.56341098705,6.102092275448163e-05,0.43194783030405576
642.0,23.0,523.3799553440981,1803602.7885568512,12740.319965873208,6.017002706141703e-05,0.4285829898037491
643.0,23.0,515.2506962039455,1816785.8977869889,13662.55691265168,5.9253591630740814e-05,0.42522821081659024
644.0,23.0,506.31365620946934,1831005.4102380595,14832.56326005104,5.825560209488451e-05,0.42196141798439546
645.0,23.0,496.3360253635745,1846567.2585213857,16384.7310948045,5.71524860238929e-05,0.4189411829317845
646.0,23.0,484.94495782122686,1863965.780898158,18586.119665045993,5.590648618669814e-05,0.41650739042645457
647.0,23.0,471.4720801541308,1884095.2573346053,22040.09309099799,5.44499518367193e-05,0.4154333604607663
648.0,23.0,454.5315376116054,1908830.430242851,28337.81817476774,5.264327261406829e-05,0.41756035034792477
649.0,23.0,430.6927154277145,1942906.3431097632,42508.79366424063,5.014625941437467e-05,0.42713347474872776
650.0,23.0,388.40715714740526,2003138.5686158636,93579.3468886558,4.58566924284337e-05,0.4614048550358585
651.0,23.0,271.1400639076476,2204305.6702636816,170134.7855724959,3.520106249489667e-05,0.4626999789456799
652.0,23.0,229.2690217004257,2306410.9575038357,67065.04752174442,3.2044083618702464e-05,0.32765353456195034
653.0,23.0,210.76901606629573,2360001.7820689115,44005.30629316074,3.081081204214901e-05,0.27587997011302184
654.0,23.0,198.7918536329573,2398311.4829015755,33762.50142781389,3.007885915637929e-05,0.24592572083349892
655.0,23.0,189.9132993516559,2428895.138604865,27893.35489454021,2.957553479422284e-05,0.22554987031396445
656.0,23.0,182.85215786644173,2454739.920592919,24048.897934143875,2.9202156073900514e-05,0.21044327366814572
657.0,23.0,176.9886573989396,2477347.23284379,21313.494687398015,2.891216927563382e-05,0.1986278599489968
658.0,23.0,171.9753634888794,2497584.3328238977,19254.746252130353,2.868001356591491e-05,0.1890434618132877
659.0,23.0,167.5976965083975,2516000.4201309504,17641.102395944938,2.8490184804012347e-05,0.18106044265041105
660.0,23.0,163.7136837194446,2532966.860011106,16336.981836773979,2.833258973210527e-05,0.17427641800822125
661.0,23.0,160.22442287415996,2548747.443704039,15257.500817682174,2.8200300580850636e-05,0.16841968579243805
662.0,23.0,157.05819960347029,2563536.8770497185,14346.673507244055,2.8088362737920077e-05,0.16329875390355186
663.0,23.0,154.1613204743846,2577483.3582073785,13566.00001188844,2.7993114335588412e-05,0.15877395342231176
664.0,23.0,151.49251700406657,2590702.561305954,12888.083870096838,2.7911775191027255e-05,0.15474051580171913
665.0,23.0,149.01937027925007,2603286.6889641527,12292.865402561463,2.784218669852296e-05,0.15111799432380751
666.0,23.0,146.71593855001387,2615310.551895389,11765.297495468747,2.7782640795035733e-05,0.14784338565784233
667.0,23.0,144.56113203279514,2626835.780588668,11293.856487329336,2.773176379418111e-05,0.1448665060573441
668.0,23.0,142.5375688053481,2637913.821494791,10869.556918410326,2.7688435271799906e-05,0.14214679344259146
669.0,23.0,140.63075015555413,2648588.118087546,10485.281254671447,2.765173005429029e-05,0.13965104051905342
670.0,23.0,138.82845381038976,2658895.7308006384,10135.312661905735,2.76208758528196e-05,0.13735175292824214
671.0,23.0,137.1202792972762,2668868.5617231424,9815.002257234308,2.7595221748292525e-05,0.1352259373410596
672.0,23.0,135.49730175721467,2678534.295186898,9520.527573223906,2.7574214361314436e-05,0.13325419173086045
673.0,23.0,133.95180451234233,2687917.130403308,9248.714217751658,2.755737956776364e-05,0.13142001213936633
674.0,23.0,132.4770697772341,2697038.3594035385,8996.902160313926,2.7544308283779858e-05,0.12970925723287677
675.0,23.0,131.06721294259057,2705916.8282028367,8762.844077668777,2.7534645282361715e-05,0.12810972965721829
676.0,23.0,129.71704995606436,2714569.3086377443,8544.627091925797,2.752808029953984e-05,0.12661084506919498
677.0,23.0,128.42199015456296,2723010.8010431645,8340.61182078866,2.752434089137846e-05,0.12520336782822122
678.0,23.0,127.17794888993885,2731254.782788791,8149.3844071809945,2.7523186645149156e-05,0.12387919796342618
679.0,23.0,125.98127570747018,2739313.4140010313,7969.718396293322,2.7524404448876563e-05,0.12263119800583054
680.0,23.0,124.82869486176041,2747197.7091095247,7800.544166155487,2.7527804596060112e-05,0.12145305112063073
